currency,CHF,CHF,CHF,CHF,CHF,CHF,EUR,EUR,EUR,EUR,EUR,EUR,GBP,GBP,GBP,GBP,GBP,GBP,JPY,JPY,JPY,JPY,JPY,JPY
coefficient,const,SP500,UST10Y,fxvol,TED,VIX,const,SP500,UST10Y,fxvol,TED,VIX,const,SP500,UST10Y,fxvol,TED,VIX,const,SP500,UST10Y,fxvol,TED,VIX
date,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09,0.00012866150620811532,0.045923247814873225,-0.022969874070714515,0.0004145855786037147,-0.09583906971021092,0.005021519672958437,2.995683348397701e-05,0.07710149869575046,-0.012054793219810477,0.0002529501813533664,-0.09067839916306818,0.003948302023541689,0.00010499267411649142,0.11048139606085063,-0.008364330776852974,0.00015753003718326324,-0.2564118047297126,0.0010157139990862325,-0.00014383155820202242,-0.006453177425794094,-0.03860347140235511,0.0005760537214678529,0.11639948873034718,0.007779953055081274
2019-07-10,0.00012866678835669535,0.045927430844429386,-0.02297116025683151,0.00041459726841672515,-0.0958419885433752,0.005021233011548224,2.995448077498137e-05,0.0770997006827818,-0.012055978167593816,0.00025299561195126483,-0.09067720331742704,0.003948317457316101,0.00010499614357512325,0.11048632922970648,-0.008366710655974666,0.0001574759911750452,-0.25640724004919324,0.0010159646386915494,-0.00014385140756421603,-0.006441670303372463,-0.038603423878688606,0.0005760652758581508,0.11638890294037622,0.007778511709469095
2019-07-11,0.0001286709530256381,0.045931568178788046,-0.022972446442948505,0.0004146130732087377,-0.0958450244946065,0.0050209696734002576,2.9950819430292205e-05,0.07709784912356152,-0.012057163115377158,0.00025304511156224704,-0.09067614455457773,0.0039483602216932,0.0001049987195685747,0.11049122539464375,-0.008369090535096357,0.0001574242157463963,-0.25640276756791086,0.0010162341648409035,-0.00014387249657110836,-0.006430217679622529,-0.03860337635502212,0.0005760802356181435,0.11637819213232141,0.007777096384095052
2019-07-12,0.0001286745535317707,0.04593569381266782,-0.022973739247221032,0.00041463098388703324,-0.09584814491354225,0.005020707495135095,2.9946955025146755e-05,0.0770959933502502,-0.012058350446922834,0.00025309523938635666,-0.09067511617898527,0.00394840340381965,0.00010500024878976974,0.11049609957133785,-0.00837148284963991,0.00015737517558918318,-0.25639844940010587,0.0010165058706416846,-0.00014389482544948157,-0.006418792701955341,-0.03860334429800922,0.0005760986499078678,0.11636730269433113,0.0077756836223235246
2019-07-15,0.0001286769989686259,0.04593977107046145,-0.02297502979315371,0.0004146532616911047,-0.0958514728599121,0.0050204584665790395,2.9943357776745304e-05,0.07709414877307605,-0.012059538301168496,0.0002531445327785532,-0.09067403982855371,0.003948443542574213,0.00010500184475644541,0.1105009765793177,-0.008373875296337046,0.00015732595969739836,-0.2563941194248876,0.0010167768068600007,-0.0001439180498479936,-0.006407408047563597,-0.03860331037915016,0.0005761195386421076,0.11635625843380604,0.00777428111347821
2019-07-16,0.00012867973359040002,0.04594384879030923,-0.02297632203529069,0.00041467435293819063,-0.09585475317913532,0.005020211223486058,2.9939730740072804e-05,0.07709230414827616,-0.012060725980569287,0.0002531939296747622,-0.0906729683815989,0.003948483497293406,0.00010500422210682752,0.11050585485180307,-0.008376272384366605,0.00015727444419684998,-0.2563896627403112,0.0010170526292055263,-0.00014394126154267513,-0.006396023371349084,-0.038603276539527435,0.0005761403922290971,0.11634521618656452,0.007772878683514236
2019-07-17,0.00012868344598373867,0.04594789621979154,-0.02297760663064655,0.00041469176930363465,-0.09585785782541155,0.00501996765836494,2.993715587383847e-05,0.07709042690733509,-0.01206190542556111,0.0002532400902275873,-0.09067170799048074,0.0039485274124017745,0.00010500907894155547,0.11051065532643299,-0.008378649835247358,0.00015721578221312591,-0.25638476742983596,0.0010173378977601831,-0.00014396368126345802,-0.006384665072761919,-0.03860323611363824,0.0005761592666534124,0.11633431086020414,0.00777147924958076
2019-07-18,0.00012868706450212876,0.04595194923826412,-0.02297888994122167,0.00041470954306174057,-0.09586098074340234,0.005019722019227453,2.9934242126098364e-05,0.07708856985521151,-0.012063080229331882,0.0002532873227310881,-0.09067051352545873,0.003948563835625093,0.00010501321299794162,0.11051549938514627,-0.00838101726860762,0.0001571592356525439,-0.25638001063542304,0.0010176069932330137,-0.0001439858501340149,-0.006373322830859762,-0.03860319933848963,0.0005761774865923558,0.11632345251626774,0.007770085389318236
2019-07-19,0.00012869057090853642,0.04595599861451542,-0.022980172813404108,0.00041472773216062693,-0.09586413891126676,0.0050194773375513676,2.9931535334362033e-05,0.07708671953086663,-0.0120642558429336,0.00025333392070244214,-0.09066925402299292,0.003948598490254839,0.00010501617324101151,0.11052030482028434,-0.008383380053754073,0.00015710608894174116,-0.25637561722850777,0.0010178862416842201,-0.00014400895520958682,-0.006362013288600359,-0.03860315867047554,0.0005761981083555717,0.11631231092369435,0.007768699569953994
2019-07-22,0.00012869285156073335,0.04596011699451788,-0.022981458082126423,0.0004147505994652125,-0.09586766412439734,0.005019211137360577,2.9928926149433812e-05,0.07708486370821722,-0.012065431265564745,0.00025338022007480304,-0.09066796530752126,0.003948634859512057,0.0001050187702188039,0.1105251309679137,-0.008385743558152324,0.00015705402540859215,-0.25637133092555486,0.0010181590312441854,-0.00014403196923607072,-0.0063507092569887805,-0.03860311781316432,0.000576218488710726,0.11630119556624774,0.0077673153580818995
